공급사,고객사,관계유형,제품·프로그램,설명,신뢰도,출처,대분류,서브섹터
세진중공업,한화오션,부품·소재·장비 공급,LNG운반선,LNG운반선 데크하우스·LPG탱크 공급,명시,제품체인,조선·방산·우주항공,조선
한화시스템,LIG넥스원,부품·소재·장비 공급,천궁-II,천궁-II 다기능레이더(MFR) 공급,명시,제품체인,조선·방산·우주항공,방산
한화에어로스페이스,LIG넥스원,부품·소재·장비 공급,천궁-II,천궁-II 발사대·발사관 공급,명시,제품체인,조선·방산·우주항공,방산
퍼스텍,LIG넥스원,부품·소재·장비 공급,천궁-II,천궁-II 구동장치 공급,명시,제품체인,조선·방산·우주항공,방산
웨이브일렉트로,LIG넥스원,부품·소재·장비 공급,천궁-II,천궁-II 송수신모듈(TRM) 공급,명시,제품체인,조선·방산·우주항공,방산
코츠테크놀로지,LIG넥스원,부품·소재·장비 공급,천궁-II,천궁-II 신호처리·전술컴퓨터 공급,명시,제품체인,조선·방산·우주항공,방산
현대위아,한화에어로스페이스,부품·소재·장비 공급,K9 자주포,K9 자주포 포신 공급,명시,제품체인,조선·방산·우주항공,방산
STX엔진,한화에어로스페이스,부품·소재·장비 공급,K9 자주포,K9 자주포 엔진 공급 (국산화),명시,제품체인,조선·방산·우주항공,방산
HD현대인프라코어,한화에어로스페이스,부품·소재·장비 공급,K9 자주포,K9 자주포 엔진 공급,명시,제품체인,조선·방산·우주항공,방산
SNT다이내믹스,한화에어로스페이스,부품·소재·장비 공급,K9 자주포,K9 자주포 변속기 공급,명시,제품체인,조선·방산·우주항공,방산
HD현대인프라코어,현대로템,부품·소재·장비 공급,K2 전차,K2 전차 엔진 공급,명시,제품체인,조선·방산·우주항공,방산
SNT다이내믹스,현대로템,부품·소재·장비 공급,K2 전차,K2 전차 변속기 공급,명시,제품체인,조선·방산·우주항공,방산
현대위아,현대로템,부품·소재·장비 공급,K2 전차,K2 전차 주포 공급,명시,제품체인,조선·방산·우주항공,방산
한화에어로스페이스,한국항공우주,부품·소재·장비 공급,KF-21,KF-21 엔진(F414 면허생산) 공급,명시,제품체인,조선·방산·우주항공,방산
한화시스템,한국항공우주,부품·소재·장비 공급,KF-21,KF-21 AESA 레이더 공급,명시,제품체인,조선·방산·우주항공,방산
현대위아,한국항공우주,부품·소재·장비 공급,KF-21,KF-21 착륙장치 공급,명시,제품체인,조선·방산·우주항공,방산
LIG넥스원,한국항공우주,부품·소재·장비 공급,KF-21,KF-21 항전/일부 임무장비 공급,명시,제품체인,조선·방산·우주항공,방산
켄코아에어로스페이스,한국항공우주,부품·소재·장비 공급,KF-21,KF-21 기체 구조물 공급,명시,제품체인,조선·방산·우주항공,방산
아스트,한국항공우주,부품·소재·장비 공급,KF-21,KF-21 기체 구조물 공급,명시,제품체인,조선·방산·우주항공,방산
하이즈항공,한국항공우주,부품·소재·장비 공급,KF-21,KF-21 기체 구조물 공급,명시,제품체인,조선·방산·우주항공,방산
한화시스템,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 전투체계 공급,명시,제품체인,조선·방산·우주항공,방산
한화시스템,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 전투체계 공급,명시,제품체인,조선·방산·우주항공,방산
LIG넥스원,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 소나·어뢰 공급,명시,제품체인,조선·방산·우주항공,방산
LIG넥스원,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 소나·어뢰 공급,명시,제품체인,조선·방산·우주항공,방산
효성중공업,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 추진전동기 공급,명시,제품체인,조선·방산·우주항공,방산
효성중공업,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 추진전동기 공급,명시,제품체인,조선·방산·우주항공,방산
STX엔진,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 디젤엔진 공급,명시,제품체인,조선·방산·우주항공,방산
STX엔진,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 디젤엔진 공급,명시,제품체인,조선·방산·우주항공,방산
범한퓨얼셀,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 AIP 연료전지 공급,명시,제품체인,조선·방산·우주항공,방산
범한퓨얼셀,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 AIP 연료전지 공급,명시,제품체인,조선·방산·우주항공,방산
한화에어로스페이스,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 리튬전지체계 공급,명시,제품체인,조선·방산·우주항공,방산
한화에어로스페이스,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 리튬전지체계 공급,명시,제품체인,조선·방산·우주항공,방산
삼성SDI,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 셀 공급,명시,제품체인,조선·방산·우주항공,방산
삼성SDI,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 셀 공급,명시,제품체인,조선·방산·우주항공,방산
POSCO홀딩스,한화오션,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 강재 공급,명시,제품체인,조선·방산·우주항공,방산
POSCO홀딩스,HD현대중공업,부품·소재·장비 공급,장보고-III 잠수함,장보고-III 잠수함 강재 공급,명시,제품체인,조선·방산·우주항공,방산
동진쎄미켐,삼성전자,소재 공급,,포토레지스트/신너 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
동진쎄미켐,SK하이닉스,소재 공급,,포토레지스트/신너 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
영창케미칼,삼성전자,소재 공급,,포토레지스트/신너 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
영창케미칼,SK하이닉스,소재 공급,,포토레지스트/신너 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
이엔에프테크놀로지,삼성전자,소재 공급,,포토레지스트/신너 — 메모리·파운드리 팹향 (신너),추정,서브섹터,반도체,소재
이엔에프테크놀로지,SK하이닉스,소재 공급,,포토레지스트/신너 — 메모리·파운드리 팹향 (신너),추정,서브섹터,반도체,소재
디엔에프,삼성전자,소재 공급,,프리커서 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
디엔에프,SK하이닉스,소재 공급,,프리커서 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
한솔케미칼,삼성전자,소재 공급,,프리커서 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
한솔케미칼,SK하이닉스,소재 공급,,프리커서 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
덕산테코피아,삼성전자,소재 공급,,프리커서 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
덕산테코피아,SK하이닉스,소재 공급,,프리커서 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
원익머트리얼즈,삼성전자,소재 공급,,특수가스 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
원익머트리얼즈,SK하이닉스,소재 공급,,특수가스 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
티이엠씨,삼성전자,소재 공급,,특수가스 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
티이엠씨,SK하이닉스,소재 공급,,특수가스 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
후성,삼성전자,소재 공급,,특수가스 — 메모리·파운드리 팹향 (WF6·C4F6),추정,서브섹터,반도체,소재
후성,SK하이닉스,소재 공급,,특수가스 — 메모리·파운드리 팹향 (WF6·C4F6),추정,서브섹터,반도체,소재
솔브레인,삼성전자,소재 공급,,식각액/세정액 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
솔브레인,SK하이닉스,소재 공급,,식각액/세정액 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
이엔에프테크놀로지,삼성전자,소재 공급,,식각액/세정액 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
이엔에프테크놀로지,SK하이닉스,소재 공급,,식각액/세정액 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
램테크놀러지,삼성전자,소재 공급,,식각액/세정액 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
램테크놀러지,SK하이닉스,소재 공급,,식각액/세정액 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
케이씨텍,삼성전자,소재 공급,,CMP 슬러리/패드 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
케이씨텍,SK하이닉스,소재 공급,,CMP 슬러리/패드 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
솔브레인,삼성전자,소재 공급,,CMP 슬러리/패드 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
솔브레인,SK하이닉스,소재 공급,,CMP 슬러리/패드 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
한솔케미칼,삼성전자,소재 공급,,과산화수소 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
한솔케미칼,SK하이닉스,소재 공급,,과산화수소 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
OCI홀딩스,삼성전자,소재 공급,,과산화수소 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
OCI홀딩스,SK하이닉스,소재 공급,,과산화수소 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
에스앤에스텍,삼성전자,소재 공급,,블랭크마스크/펠리클 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
에스앤에스텍,SK하이닉스,소재 공급,,블랭크마스크/펠리클 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
에프에스티,삼성전자,소재 공급,,블랭크마스크/펠리클 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
에프에스티,SK하이닉스,소재 공급,,블랭크마스크/펠리클 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
원익QnC,삼성전자,소재 공급,,쿼츠웨어 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
원익QnC,SK하이닉스,소재 공급,,쿼츠웨어 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
비씨엔씨,삼성전자,소재 공급,,쿼츠웨어 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
비씨엔씨,SK하이닉스,소재 공급,,쿼츠웨어 — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
덕산하이메탈,삼성전자,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (솔더볼),추정,서브섹터,반도체,소재
덕산하이메탈,SK하이닉스,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (솔더볼),추정,서브섹터,반도체,소재
엠케이전자,삼성전자,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (본딩와이어),추정,서브섹터,반도체,소재
엠케이전자,SK하이닉스,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (본딩와이어),추정,서브섹터,반도체,소재
해성디에스,삼성전자,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (리드프레임·패키지기판),추정,서브섹터,반도체,소재
해성디에스,SK하이닉스,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (리드프레임·패키지기판),추정,서브섹터,반도체,소재
이녹스첨단소재,삼성전자,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (반도체 테이프),추정,서브섹터,반도체,소재
이녹스첨단소재,SK하이닉스,소재 공급,,패키징 소재 — 메모리·파운드리 팹향 (반도체 테이프),추정,서브섹터,반도체,소재
SKC,삼성전자,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향 (앱솔릭스),추정,서브섹터,반도체,소재
SKC,SK하이닉스,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향 (앱솔릭스),추정,서브섹터,반도체,소재
필옵틱스,삼성전자,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향 (TGV 장비),추정,서브섹터,반도체,소재
필옵틱스,SK하이닉스,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향 (TGV 장비),추정,서브섹터,반도체,소재
켐트로닉스,삼성전자,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
켐트로닉스,SK하이닉스,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향,추정,서브섹터,반도체,소재
와이씨켐,삼성전자,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향 (소재),추정,서브섹터,반도체,소재
와이씨켐,SK하이닉스,소재 공급,,유리기판(신규) — 메모리·파운드리 팹향 (소재),추정,서브섹터,반도체,소재
하나머티리얼즈,삼성전자,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
하나머티리얼즈,SK하이닉스,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
월덱스,삼성전자,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
월덱스,SK하이닉스,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
티씨케이,삼성전자,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향 (SiC 링),추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
티씨케이,SK하이닉스,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향 (SiC 링),추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
케이엔제이,삼성전자,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향 (SiC 포커스링),추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
케이엔제이,SK하이닉스,소모성 부품 공급,,실리콘/SiC 파츠 — 메모리·파운드리 팹향 (SiC 포커스링),추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
미코,삼성전자,소모성 부품 공급,,세라믹 히터/정전척 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
미코,SK하이닉스,소모성 부품 공급,,세라믹 히터/정전척 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
코미코,삼성전자,소모성 부품 공급,,파츠 세정·코팅 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
코미코,SK하이닉스,소모성 부품 공급,,파츠 세정·코팅 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
한솔아이원스,삼성전자,소모성 부품 공급,,파츠 세정·코팅 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
한솔아이원스,SK하이닉스,소모성 부품 공급,,파츠 세정·코팅 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
원익QnC,삼성전자,소모성 부품 공급,,쿼츠 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
원익QnC,SK하이닉스,소모성 부품 공급,,쿼츠 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
비씨엔씨,삼성전자,소모성 부품 공급,,쿼츠 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
비씨엔씨,SK하이닉스,소모성 부품 공급,,쿼츠 파츠 — 메모리·파운드리 팹향,추정,서브섹터,반도체,부품 (소모성 파츠·세라믹)
리노공업,삼성전자,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향 (포고핀),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
리노공업,SK하이닉스,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향 (포고핀),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
ISC,삼성전자,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향 (러버),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
ISC,SK하이닉스,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향 (러버),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
티에스이,삼성전자,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
티에스이,SK하이닉스,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
마이크로컨텍솔,삼성전자,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
마이크로컨텍솔,SK하이닉스,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
오킨스전자,삼성전자,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
오킨스전자,SK하이닉스,테스트 부품·외주,,테스트 소켓 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
티에스이,삼성전자,테스트 부품·외주,,프로브카드 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
티에스이,SK하이닉스,테스트 부품·외주,,프로브카드 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
샘씨엔에스,삼성전자,테스트 부품·외주,,프로브카드 — 메모리·시스템 반도체향 (세라믹 STF 기판),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
샘씨엔에스,SK하이닉스,테스트 부품·외주,,프로브카드 — 메모리·시스템 반도체향 (세라믹 STF 기판),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
티에스이,삼성전자,테스트 부품·외주,,인터페이스보드/번인 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
티에스이,SK하이닉스,테스트 부품·외주,,인터페이스보드/번인 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
디아이,삼성전자,테스트 부품·외주,,인터페이스보드/번인 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
디아이,SK하이닉스,테스트 부품·외주,,인터페이스보드/번인 — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
두산테스나,삼성전자,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향 (SoC 웨이퍼테스트),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
두산테스나,SK하이닉스,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향 (SoC 웨이퍼테스트),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
네패스아크,삼성전자,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
네패스아크,SK하이닉스,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
엘비세미콘,삼성전자,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향 (DDI 범핑·테스트),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
엘비세미콘,SK하이닉스,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향 (DDI 범핑·테스트),추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
윈팩,삼성전자,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
윈팩,SK하이닉스,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
에이팩트,삼성전자,테스트 부품·외주,,테스트 하우스(OSAT) — 메모리·시스템 반도체향,추정,서브섹터,반도체,부품·소켓·테스트 (OSAT 포함)
