대분류,서브섹터,제품체인,체인단계,기업명,비고
반도체,소재,,프리커서,한솔케미칼,
반도체,소재,,프리커서,덕산테코피아,
반도체,소재,,특수가스,원익머트리얼즈,
반도체,소재,,특수가스,티이엠씨,
반도체,소재,,특수가스,후성,WF6·C4F6
반도체,소재,,식각액/세정액,솔브레인,
반도체,소재,,식각액/세정액,이엔에프테크놀로지,
반도체,소재,,식각액/세정액,램테크놀러지,
반도체,소재,,CMP 슬러리/패드,케이씨텍,
반도체,소재,,CMP 슬러리/패드,솔브레인,
반도체,소재,,과산화수소,한솔케미칼,
반도체,소재,,과산화수소,OCI홀딩스,
반도체,소재,,블랭크마스크/펠리클,에스앤에스텍,
반도체,소재,,블랭크마스크/펠리클,에프에스티,
반도체,소재,,쿼츠웨어,원익QnC,
반도체,소재,,쿼츠웨어,비씨엔씨,
반도체,소재,,패키징 소재,덕산하이메탈,솔더볼
반도체,소재,,패키징 소재,엠케이전자,본딩와이어
반도체,소재,,패키징 소재,해성디에스,리드프레임·패키지기판
반도체,소재,,패키징 소재,이녹스첨단소재,반도체 테이프
반도체,소재,,유리기판(신규),SKC,앱솔릭스
반도체,소재,,유리기판(신규),필옵틱스,TGV 장비
반도체,소재,,유리기판(신규),켐트로닉스,
반도체,소재,,유리기판(신규),와이씨켐,소재
반도체,부품 (소모성 파츠·세라믹),,실리콘/SiC 파츠,하나머티리얼즈,
반도체,부품 (소모성 파츠·세라믹),,실리콘/SiC 파츠,월덱스,
반도체,부품 (소모성 파츠·세라믹),,실리콘/SiC 파츠,티씨케이,SiC 링
반도체,부품 (소모성 파츠·세라믹),,실리콘/SiC 파츠,케이엔제이,SiC 포커스링
반도체,부품 (소모성 파츠·세라믹),,세라믹 히터/정전척,미코,
반도체,부품 (소모성 파츠·세라믹),,파츠 세정·코팅,코미코,
반도체,부품 (소모성 파츠·세라믹),,파츠 세정·코팅,한솔아이원스,
반도체,부품 (소모성 파츠·세라믹),,쿼츠 파츠,원익QnC,
반도체,부품 (소모성 파츠·세라믹),,쿼츠 파츠,비씨엔씨,
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 소켓,리노공업,포고핀
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 소켓,ISC,러버
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 소켓,티에스이,
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 소켓,마이크로컨텍솔,
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 소켓,오킨스전자,
반도체,부품·소켓·테스트 (OSAT 포함),,프로브카드,티에스이,
반도체,부품·소켓·테스트 (OSAT 포함),,프로브카드,샘씨엔에스,세라믹 STF 기판
반도체,부품·소켓·테스트 (OSAT 포함),,인터페이스보드/번인,티에스이,
반도체,부품·소켓·테스트 (OSAT 포함),,인터페이스보드/번인,디아이,
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 하우스(OSAT),두산테스나,SoC 웨이퍼테스트
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 하우스(OSAT),네패스아크,
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 하우스(OSAT),엘비세미콘,DDI 범핑·테스트
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 하우스(OSAT),윈팩,
반도체,부품·소켓·테스트 (OSAT 포함),,테스트 하우스(OSAT),에이팩트,
반도체,부품·소켓·테스트 (OSAT 포함),,패키징 OSAT,하나마이크론,
반도체,부품·소켓·테스트 (OSAT 포함),,패키징 OSAT,SFA반도체,
반도체,부품·소켓·테스트 (OSAT 포함),,패키징 OSAT,네패스,FO-WLP
반도체,부품·소켓·테스트 (OSAT 포함),,패키징 OSAT,시그네틱스,
반도체,팹리스,,DDI,LX세미콘,
반도체,팹리스,,차량용 AP/인포테인먼트,텔레칩스,
반도체,팹리스,,차량용 ISP/ADAS,넥스트칩,
반도체,팹리스,,SSD 컨트롤러,파두,
반도체,팹리스,,MCU,어보브반도체,
반도체,팹리스,,메모리(니치),제주반도체,
반도체,팹리스,,아날로그/햅틱,동운아나텍,
반도체,팹리스,,AI 반도체,리벨리온,
전기전자,기판/PCB,,원소재(CCL),두산,전자BG
전기전자,기판/PCB,,원소재(CCL),이녹스첨단소재,FPCB 소재
전기전자,기판/PCB,,원소재(CCL),와이엠티,도금화학·극동박
전기전자,기판/PCB,,패키지기판(FC-BGA),삼성전기,
전기전자,기판/PCB,,패키지기판(FC-BGA),LG이노텍,
전기전자,기판/PCB,,패키지기판(FC-BGA),대덕전자,
전기전자,기판/PCB,,패키지기판(FC-BGA),코리아써키트,
전기전자,기판/PCB,,메모리모듈·BOC,심텍,
전기전자,기판/PCB,,메모리모듈·BOC,티엘비,
전기전자,기판/PCB,,MLB(AI서버·네트워크),이수페타시스,
전기전자,기판/PCB,,FPCB,비에이치,
전기전자,기판/PCB,,FPCB,인터플렉스,
전기전자,기판/PCB,,FPCB,뉴프렉스,
전기전자,기판/PCB,,리드프레임·패키지기판,해성디에스,
전기전자,기판/PCB,,장비/검사,태성,PCB 설비
전기전자,기판/PCB,,장비/검사,기가비스,광학검사
전기전자,기판/PCB,,장비/검사,필옵틱스,
전기전자,가전,,세트,LG전자,
전기전자,가전,,세트,삼성전자,
전기전자,가전,,렌탈/환경가전,코웨이,
전기전자,가전,,렌탈/환경가전,쿠쿠홈시스,
전기전자,가전,,렌탈/환경가전,위닉스,
전기전자,가전,,소형가전,쿠쿠홀딩스,
전기전자,가전,,소형가전,신일전자,
전기전자,가전,,소형가전,파세코,
전기전자,가전,,보일러,경동나비엔,
전기전자,가전,,부품,삼화콘덴서,콘덴서
전기전자,가전,,부품,뉴인텍,필름콘덴서
전기전자,가전,,부품,에스씨디,모터·부품
전기전자,로봇,,감속기,에스피지,유성·하모닉
전기전자,로봇,,감속기,에스비비테크,하모닉
전기전자,로봇,,모터/서보,하이젠알앤엠,
전기전자,로봇,,모터/서보,알에스오토메이션,모션제어·드라이브
전기전자,로봇,,액추에이터 모듈,삼현,
전기전자,로봇,,액추에이터 모듈,로보티즈,다이나믹셀
전기전자,로봇,,부품(정밀·MIM),한국피아이엠,
전기전자,로봇,,협동로봇,두산로보틱스,
전기전자,로봇,,협동로봇,뉴로메카,
전기전자,로봇,,협동로봇,레인보우로보틱스,협동+휴머노이드
전기전자,로봇,,산업용로봇,로보스타,LG그룹
전기전자,로봇,,산업용로봇,유일로보틱스,
전기전자,로봇,,산업용로봇,휴림로봇,
전기전자,로봇,,산업용로봇,라온테크,진공로봇
전기전자,로봇,,물류로봇(AMR/AGV),유진로봇,
전기전자,로봇,,물류로봇(AMR/AGV),티로보틱스,진공물류·AMR
전기전자,로봇,,의료·재활로봇,큐렉소,
전기전자,로봇,,의료·재활로봇,엔젤로보틱스,
전기전자,로봇,,의료·재활로봇,피앤에스미캐닉스,
전기전자,로봇,,SW/SI·비전,클로봇,
전기전자,로봇,,SW/SI·비전,씨메스,
전기전자,로봇,,SW/SI·비전,브이원텍,
전기전자,로봇,,SW/SI·비전,현대오토에버,
전기전자,로봇,,완성차 계열 수직계열화(보스턴다이내믹스향),현대모비스,액추에이터·헤드모듈
전기전자,로봇,,완성차 계열 수직계열화(보스턴다이내믹스향),화신,바디·팔·다리
전기전자,로봇,,완성차 계열 수직계열화(보스턴다이내믹스향),에스엘,로봇다리·외장
전기전자,로봇,,완성차 계열 수직계열화(보스턴다이내믹스향),서연이화,외장
전기전자,로봇,,완성차 계열 수직계열화(보스턴다이내믹스향),HL만도,액추에이터
전기전자,로봇,,완성차 계열 수직계열화(보스턴다이내믹스향),에스오에스랩,라이다
전기전자,디스플레이,,패널,LG디스플레이,삼성디스플레이는 비상장 → 상장 모회사 삼성전자
전기전자,디스플레이,,증착 장비,선익시스템,OLED 증착기
전기전자,디스플레이,,증착 장비,주성엔지니어링,
전기전자,디스플레이,,증착 장비,원익IPS,
전기전자,디스플레이,,레이저/봉지 장비,AP시스템,ELA
전기전자,디스플레이,,레이저/봉지 장비,필옵틱스,
전기전자,디스플레이,,레이저/봉지 장비,이오테크닉스,
전기전자,디스플레이,,물류/자동화,에스에프에이,
전기전자,디스플레이,,물류/자동화,톱텍,
전기전자,디스플레이,,검사,HB테크놀러지,
전기전자,디스플레이,,검사,브이원텍,
전기전자,디스플레이,,검사,영우디에스피,
전기전자,디스플레이,,마스크 인장,힘스,
전기전자,디스플레이,,유기재료,덕산네오룩스,
전기전자,디스플레이,,유기재료,피엔에이치테크,
전기전자,디스플레이,,유기재료,솔루스첨단소재,aETL
전기전자,디스플레이,,봉지·점착 소재,이녹스첨단소재,
전기전자,디스플레이,,중간체,덕산테코피아,
전기전자,디스플레이,,폴더블 부품,KH바텍,힌지
전기전자,디스플레이,,폴더블 부품,파인엠텍,내장힌지
전기전자,디스플레이,,폴더블 부품,세경하이테크,데코필름
전기전자,디스플레이,,폴더블 부품,제이앤티씨,UTG
전기전자,디스플레이,,폴더블 부품,켐트로닉스,박막화·식각
전기전자,디스플레이,,폴더블 부품,PI첨단소재,PI필름
전기전자,디스플레이,,커버글라스,유티아이,
전기전자,디스플레이,,DDI,LX세미콘,
전기전자,디스플레이,,DDI 후공정,엘비세미콘,
전기전자,광통신·통신장비,,광트랜시버,오이솔루션,
전기전자,광통신·통신장비,,광트랜시버,라이트론,
전기전자,광통신·통신장비,,광트랜시버,우리로,광부품
전기전자,광통신·통신장비,,광케이블/광섬유,대한광통신,
전기전자,광통신·통신장비,,광케이블/광섬유,LS에코에너지,
전기전자,광통신·통신장비,,RF/기지국,케이엠더블유,필터·시스템
전기전자,광통신·통신장비,,RF/기지국,RFHIC,GaN 트랜지스터
전기전자,광통신·통신장비,,RF/기지국,에이스테크,안테나
전기전자,광통신·통신장비,,RF/기지국,웨이브일렉트로닉스,증폭기
전기전자,광통신·통신장비,,중계기/유선,쏠리드,
전기전자,광통신·통신장비,,중계기/유선,HFR,
전기전자,광통신·통신장비,,중계기/유선,다산네트웍스,
전기전자,광통신·통신장비,,중계기/유선,유비쿼스,
전기전자,광통신·통신장비,,함체/구조물,서진시스템,
전기전자,광통신·통신장비,,계측,이노와이어리스,
전기전자,광통신·통신장비,,위성통신,인텔리안테크,안테나
전기전자,광통신·통신장비,,위성통신,제노코,부품
전기전자,광통신·통신장비,,광통신 장비,성호전자,에이디에스테크
전기전자,IT 부품 (스마트폰 중심),,카메라모듈,LG이노텍,애플향
전기전자,IT 부품 (스마트폰 중심),,카메라모듈,삼성전기,
전기전자,IT 부품 (스마트폰 중심),,카메라모듈,파트론,
전기전자,IT 부품 (스마트폰 중심),,카메라모듈,엠씨넥스,
전기전자,IT 부품 (스마트폰 중심),,카메라모듈,캠시스,
전기전자,IT 부품 (스마트폰 중심),,카메라모듈,파워로직스,
전기전자,IT 부품 (스마트폰 중심),,OIS/AF 액추에이터,자화전자,
전기전자,IT 부품 (스마트폰 중심),,카메라 부품,덕우전자,스티프너
전기전자,IT 부품 (스마트폰 중심),,MLCC,삼성전기,
전기전자,IT 부품 (스마트폰 중심),,MLCC,삼화콘덴서,
전기전자,IT 부품 (스마트폰 중심),,배터리 보호모듈,아이티엠반도체,
전기전자,IT 부품 (스마트폰 중심),,힌지/외장,KH바텍,
전기전자,IT 부품 (스마트폰 중심),,힌지/외장,파인엠텍,
전기전자,IT 부품 (스마트폰 중심),,FPCB,비에이치,
전기전자,IT 부품 (스마트폰 중심),,FPCB,인터플렉스,
전기전자,IT 부품 (스마트폰 중심),,무선충전/전장부품,켐트로닉스,
전기전자,IT 부품 (스마트폰 중심),,무선충전/전장부품,아모텍,
전력기기·전력인프라·원전,전력기기,,초고압 변압기,HD현대일렉트릭,
전력기기·전력인프라·원전,전력기기,,초고압 변압기,효성중공업,
전력기기·전력인프라·원전,전력기기,,초고압 변압기,LS ELECTRIC,
전력기기·전력인프라·원전,전력기기,,초고압 변압기,일진전기,
전력기기·전력인프라·원전,전력기기,,중소형/특수 변압기,산일전기,태양광·ESS향
전력기기·전력인프라·원전,전력기기,,중소형/특수 변압기,제룡전기,"배전·패드변압기, 미국향"
전력기기·전력인프라·원전,전력기기,,배전반/수배전반,LS ELECTRIC,
전력기기·전력인프라·원전,전력기기,,배전반/수배전반,광명전기,
전력기기·전력인프라·원전,전력기기,,차단기/GIS,LS ELECTRIC,
전력기기·전력인프라·원전,전력기기,,차단기/GIS,효성중공업,
전력기기·전력인프라·원전,전력기기,,차단기/GIS,HD현대일렉트릭,
전력기기·전력인프라·원전,전력기기,,전력량계/계량,옴니시스템,
전력기기·전력인프라·원전,전력기기,,전력량계/계량,피에스텍,
전력기기·전력인프라·원전,전력기기,,부품(권선·부싱 등 소형주 다수)(케이블 액세서리),제룡산업,
전력기기·전력인프라·원전,전선,,종합전선,LS,LS전선 모회사·지주
전력기기·전력인프라·원전,전선,,종합전선,대한전선,
전력기기·전력인프라·원전,전선,,종합전선,가온전선,
전력기기·전력인프라·원전,전선,,종합전선,일진전기,
전력기기·전력인프라·원전,전선,,종합전선,대원전선,
전력기기·전력인프라·원전,전선,,해저케이블,LS,LS전선
전력기기·전력인프라·원전,전선,,해저케이블,대한전선,
전력기기·전력인프라·원전,전선,,시공,LS마린솔루션,
전력기기·전력인프라·원전,전선,,해외법인(베트남),LS에코에너지,
전력기기·전력인프라·원전,전선,,동 소재,풍산,동합금
전력기기·전력인프라·원전,전선,,동 소재,이구산업,동판
전력기기·전력인프라·원전,전선,,동 소재,대창,황동봉
전력기기·전력인프라·원전,전선,,동 소재,서원,
전력기기·전력인프라·원전,발전기자재,,주기기(터빈·보일러),두산에너빌리티,
전력기기·전력인프라·원전,발전기자재,,HRSG·발전용 보일러,비에이치아이,
전력기기·전력인프라·원전,발전기자재,,단조(로터·샤프트),태웅,
전력기기·전력인프라·원전,발전기자재,,피팅/밸브,성광벤드,
전력기기·전력인프라·원전,발전기자재,,피팅/밸브,태광,
전력기기·전력인프라·원전,발전기자재,,피팅/밸브,하이록코리아,
전력기기·전력인프라·원전,발전기자재,,피팅/밸브,디케이락,
전력기기·전력인프라·원전,발전기자재,,발전 정비,한전KPS,
전력기기·전력인프라·원전,발전기자재,,발전 정비,금화피에스시,
전력기기·전력인프라·원전,발전기자재,,발전 정비,일진파워,
전력기기·전력인프라·원전,발전기자재,,발전 정비,수산인더스트리,
전력기기·전력인프라·원전,발전기자재,,계측기,우진,
전력기기·전력인프라·원전,발전기자재,,철골·기자재,보성파워텍,
전력기기·전력인프라·원전,원전,,발주/운영,한국전력,한수원 모회사
전력기기·전력인프라·원전,원전,,설계,한전기술,
전력기기·전력인프라·원전,원전,,주기기(원자로·증기발생기),두산에너빌리티,
전력기기·전력인프라·원전,원전,,보조기기(열교환기 등),비에이치아이,
전력기기·전력인프라·원전,원전,,계측제어(MMIS),우리기술,
전력기기·전력인프라·원전,원전,,계측제어(MMIS),우진,
전력기기·전력인프라·원전,원전,,밸브 액추에이터,에너토크,
전력기기·전력인프라·원전,원전,,공기압축기,한신기계,
전력기기·전력인프라·원전,원전,,배관·QA,오르비텍,
전력기기·전력인프라·원전,원전,,정비,한전KPS,
전력기기·전력인프라·원전,원전,,정비,수산인더스트리,
전력기기·전력인프라·원전,원전,,정비,금화피에스시,
전력기기·전력인프라·원전,원전,,정비,일진파워,
전력기기·전력인프라·원전,원전,,시공,현대건설,
전력기기·전력인프라·원전,원전,,시공,삼성물산,
전력기기·전력인프라·원전,원전,,시공,대우건설,
전력기기·전력인프라·원전,원전,,SMR,두산에너빌리티,뉴스케일 기자재
전력기기·전력인프라·원전,원전,,SMR,우리기술,
전력기기·전력인프라·원전,원전,,SMR,비에이치아이,
전력기기·전력인프라·원전,신재생,태양광,폴리실리콘,OCI홀딩스,
전력기기·전력인프라·원전,신재생,태양광,셀·모듈,한화솔루션,
전력기기·전력인프라·원전,신재생,태양광,셀·모듈,HD현대에너지솔루션,
전력기기·전력인프라·원전,신재생,태양광,셀·모듈,신성이엔지,
전력기기·전력인프라·원전,신재생,태양광,개발/EPC,대명에너지,
전력기기·전력인프라·원전,신재생,태양광,개발/EPC,SDN,
전력기기·전력인프라·원전,신재생,풍력,타워,씨에스윈드,
전력기기·전력인프라·원전,신재생,풍력,타워,동국S&C,
전력기기·전력인프라·원전,신재생,풍력,하부구조물,SK오션플랜트,
전력기기·전력인프라·원전,신재생,풍력,베어링,씨에스베어링,
전력기기·전력인프라·원전,신재생,풍력,단조,태웅,
전력기기·전력인프라·원전,신재생,풍력,터빈,유니슨,
전력기기·전력인프라·원전,신재생,풍력,터빈,두산에너빌리티,
전력기기·전력인프라·원전,신재생,풍력,해저케이블·시공,LS,
전력기기·전력인프라·원전,신재생,풍력,해저케이블·시공,LS마린솔루션,
전력기기·전력인프라·원전,신재생,수소·연료전지,발전용 연료전지,두산퓨얼셀,
전력기기·전력인프라·원전,신재생,수소·연료전지,발전용 연료전지,에스퓨얼셀,
전력기기·전력인프라·원전,신재생,수소·연료전지,잠수함/모빌리티용,범한퓨얼셀,
전력기기·전력인프라·원전,신재생,수소·연료전지,수소탱크,일진하이솔루스,
전력기기·전력인프라·원전,신재생,수소·연료전지,탄소섬유,효성첨단소재,
전력기기·전력인프라·원전,신재생,수소·연료전지,멤브레인·부품,상아프론테크,
전력기기·전력인프라·원전,신재생,수소·연료전지,멤브레인·부품,비나텍,
전력기기·전력인프라·원전,신재생,수소·연료전지,충전소/플랜트,제이엔케이글로벌,
전력기기·전력인프라·원전,신재생,수소·연료전지,충전소/플랜트,효성중공업,액화수소
전력기기·전력인프라·원전,전력 인프라,,HVDC/초고압,LS ELECTRIC,
전력기기·전력인프라·원전,전력 인프라,,HVDC/초고압,효성중공업,
전력기기·전력인프라·원전,전력 인프라,,HVDC/초고압,일진전기,
전력기기·전력인프라·원전,전력 인프라,,HVDC/초고압,대한전선,
전력기기·전력인프라·원전,전력 인프라,,HVDC/초고압,가온전선,
전력기기·전력인프라·원전,전력 인프라,,ESS 배터리,삼성SDI,
전력기기·전력인프라·원전,전력 인프라,,ESS 배터리,LG에너지솔루션,
전력기기·전력인프라·원전,전력 인프라,,ESS 함체/조립,서진시스템,
전력기기·전력인프라·원전,전력 인프라,,PCS,효성중공업,
전력기기·전력인프라·원전,전력 인프라,,PCS,윌링스,
전력기기·전력인프라·원전,전력 인프라,,스마트그리드/AMI,옴니시스템,
전력기기·전력인프라·원전,전력 인프라,,스마트그리드/AMI,누리플렉스,
전력기기·전력인프라·원전,전력 인프라,,변전소·배전,광명전기,
전력기기·전력인프라·원전,전력 인프라,,변전소·배전,제룡전기,
전력기기·전력인프라·원전,전력 인프라,,변전소·배전,제룡산업,
조선·방산·우주항공,조선,,야드,HD한국조선해양,지주
조선·방산·우주항공,조선,,야드,HD현대중공업,
조선·방산·우주항공,조선,,야드,HD현대미포,
조선·방산·우주항공,조선,,야드,삼성중공업,
조선·방산·우주항공,조선,,야드,한화오션,
조선·방산·우주항공,조선,,야드,HJ중공업,
조선·방산·우주항공,조선,,야드,대한조선,2025 상장
조선·방산·우주항공,조선,,강재(후판),POSCO홀딩스,
조선·방산·우주항공,조선,,강재(후판),현대제철,
조선·방산·우주항공,조선,,강재(후판),동국제강,
조선·방산·우주항공,조선,,형강,화인베스틸,
조선·방산·우주항공,조선,,선박 도료,KCC,
조선·방산·우주항공,조선,,선박 도료,노루페인트,
조선·방산·우주항공,조선,,선박 도료,조광페인트,
조선·방산·우주항공,조선,LNG운반선 밸류체인,건조,HD현대중공업,
조선·방산·우주항공,조선,LNG운반선 밸류체인,건조,삼성중공업,
조선·방산·우주항공,조선,LNG운반선 밸류체인,건조,한화오션,
조선·방산·우주항공,조선,LNG운반선 밸류체인,보냉재(멤브레인 패널),한국카본,
조선·방산·우주항공,조선,LNG운반선 밸류체인,보냉재(멤브레인 패널),동성화인텍,
조선·방산·우주항공,조선,LNG운반선 밸류체인,엔진,한화엔진,
조선·방산·우주항공,조선,LNG운반선 밸류체인,엔진,HD현대마린엔진,
조선·방산·우주항공,조선,LNG운반선 밸류체인,초저온 피팅·밸브,태광,
조선·방산·우주항공,조선,LNG운반선 밸류체인,초저온 피팅·밸브,성광벤드,
조선·방산·우주항공,조선,LNG운반선 밸류체인,초저온 피팅·밸브,하이록코리아,
조선·방산·우주항공,조선,LNG운반선 밸류체인,초저온 피팅·밸브,디케이락,
조선·방산·우주항공,조선,LNG운반선 밸류체인,블록,현대힘스,
조선·방산·우주항공,조선,LNG운반선 밸류체인,데크하우스·LPG탱크,세진중공업,
조선·방산·우주항공,조선기자재·엔진,,대형엔진,한화엔진,
조선·방산·우주항공,조선기자재·엔진,,대형엔진,HD현대마린엔진,구 STX중공업
조선·방산·우주항공,조선기자재·엔진,,대형엔진,STX엔진,
조선·방산·우주항공,조선기자재·엔진,,엔진부품,케이에스피,밸브 스핀들
조선·방산·우주항공,조선기자재·엔진,,엔진부품,인화정공,엔진 구조물
조선·방산·우주항공,조선기자재·엔진,,엔진부품,케이프,실린더라이너
조선·방산·우주항공,조선기자재·엔진,,블록·의장,현대힘스,
조선·방산·우주항공,조선기자재·엔진,,블록·의장,세진중공업,
조선·방산·우주항공,조선기자재·엔진,,블록·의장,오리엔탈정공,크레인
조선·방산·우주항공,조선기자재·엔진,,보냉재,한국카본,
조선·방산·우주항공,조선기자재·엔진,,보냉재,동성화인텍,
조선·방산·우주항공,조선기자재·엔진,,계측/평형수,한라IMS,
조선·방산·우주항공,조선기자재·엔진,,항해통신,삼영이엔씨,
조선·방산·우주항공,조선기자재·엔진,,피팅·밸브,성광벤드,
조선·방산·우주항공,조선기자재·엔진,,피팅·밸브,태광,
조선·방산·우주항공,조선기자재·엔진,,피팅·밸브,하이록코리아,
조선·방산·우주항공,조선기자재·엔진,,피팅·밸브,디케이락,
조선·방산·우주항공,조선기자재·엔진,,피팅·밸브,비엠티,
조선·방산·우주항공,방산,,체계종합,한화에어로스페이스,지상·유도·엔진
조선·방산·우주항공,방산,,체계종합,LIG넥스원,유도무기·레이더
조선·방산·우주항공,방산,,체계종합,한화시스템,레이더·전투체계
조선·방산·우주항공,방산,,체계종합,현대로템,기동
조선·방산·우주항공,방산,,체계종합,한국항공우주,항공기
조선·방산·우주항공,방산,,체계종합,현대위아,화포
조선·방산·우주항공,방산,,체계종합,풍산,탄약
조선·방산·우주항공,방산,,체계종합,SNT다이내믹스,변속기·함포
조선·방산·우주항공,방산,,체계종합,SNT모티브,총기
조선·방산·우주항공,방산,,체계종합,HD현대중공업,
조선·방산·우주항공,방산,,체계종합,한화오션,함정
조선·방산·우주항공,방산,천궁-II 밸류체인,체계종합·유도탄,LIG넥스원,
조선·방산·우주항공,방산,천궁-II 밸류체인,다기능레이더(MFR),한화시스템,
조선·방산·우주항공,방산,천궁-II 밸류체인,발사대·발사관,한화에어로스페이스,
조선·방산·우주항공,방산,천궁-II 밸류체인,구동장치,퍼스텍,
조선·방산·우주항공,방산,천궁-II 밸류체인,송수신모듈(TRM),웨이브일렉트로,
